Date,CPA,conversion_rate,CPC,CPE,clicks,impressions,purchases,spend,AOV,ROAS,RPC,revenue
2023-02-25 00:00:00,57.93,0.01961,1.1358823529411766,0.01932932932932933,51,19292,1,57.93,102.02,1.7610909718625927,2.000392156862745,102.02
2023-02-26 00:00:00,57.95,0.02041,1.1826530612244899,0.01955788052649342,49,20915,1,57.95,58.3,1.0060396893874028,1.1897959183673468,58.3
2023-03-03 00:00:00,47.34,0.02439,1.1546341463414636,0.015202312138728325,41,16641,1,47.34,1273.25,26.89585973806506,31.054878048780488,1273.25
2023-03-05 00:00:00,50.86,0.02041,1.0379591836734694,0.016135786802030455,49,18854,1,50.86,54.74,1.0762878489972474,1.1171428571428572,54.74
2023-03-06 00:00:00,47.21,0.02439,1.1514634146341463,0.014766969033468877,41,17549,1,47.21,113.98,2.4143190002118198,2.7800000000000002,113.98
2023-03-08 00:00:00,46.16,0.02041,0.9420408163265306,0.01702692733308742,49,14999,1,46.16,57.89,1.2541161178509532,1.1814285714285715,57.89
2023-03-11 00:00:00,48.7,0.02857,1.3914285714285715,0.017970479704797048,35,15352,1,48.7,52.44,1.0767967145790553,1.4982857142857142,52.44
2023-03-20 00:00:00,88.05,0.01852,1.6305555555555555,0.021843215083105928,54,36862,1,88.05,105.56,1.1988642816581487,1.9548148148148148,105.56
2023-03-21 00:00:00,21.765,0.07018,1.5273684210526317,0.021683686176836862,57,33337,4,87.06,290.93,13.366873420629451,20.416140350877193,1163.72
2023-03-23 00:00:00,43.765,0.05000,2.18825,0.02293162169242861,40,34915,2,87.53,104.7,2.392322632240375,5.235,209.4
2023-03-28 00:00:00,86.9,0.02326,2.0209302325581397,0.020894445780235634,43,32679,1,86.9,79.31,0.9126582278481012,1.8444186046511628,79.31
2023-03-31 00:00:00,84.08,0.02083,1.7516666666666667,0.022669183068212456,48,32522,1,84.08,147.56,1.7549952426260704,3.0741666666666667,147.56
2023-04-13 00:00:00,59.14,0.02128,1.2582978723404254,0.017053056516724337,47,20260,1,59.14,55.36,0.9360838687859316,1.1778723404255318,55.36
2023-04-14 00:00:00,57.01,0.02381,1.3573809523809524,0.01739170225747407,42,18926,1,57.01,102.17,1.7921417295211368,2.4326190476190477,102.17
2023-04-15 00:00:00,61.34,0.02128,1.3051063829787235,0.016787082649151616,47,20660,1,61.34,118.93,1.9388653407238343,2.5304255319148936,118.93
2023-04-18 00:00:00,29.295,0.04082,1.1957142857142857,0.016256936736958934,49,20157,2,58.59,118.72,4.0525686977299875,4.845714285714286,237.44
2023-04-19 00:00:00,55.6,0.02857,1.5885714285714285,0.017165791911083667,35,19054,1,55.6,306.86,5.519064748201439,8.767428571428573,306.86
2023-04-21 00:00:00,59.32,0.02703,1.6032432432432433,0.017299504228638088,37,19970,1,59.32,116.63,1.9661159811193525,3.152162162162162,116.63
2023-04-23 00:00:00,74.6,0.01754,1.3087719298245613,0.01641725352112676,57,31056,1,74.6,107.35,1.4390080428954424,1.8833333333333333,107.35
2023-04-24 00:00:00,25.796666666666667,0.05660,1.460188679245283,0.017652828467153284,53,33551,3,77.39,80.86999999999999,3.134901150019382,4.577547169811321,242.60999999999999
2023-04-27 00:00:00,83.83,0.01667,1.3971666666666667,0.012647857573928787,60,37272,1,83.83,143.22,1.7084575927472265,2.387,143.22
2023-04-29 00:00:00,49.585,0.02174,1.0779347826086956,0.015217124443762468,92,39715,2,99.17,50.53,1.0190581829182213,1.0984782608695653,101.06
2023-04-30 00:00:00,62.17,0.01639,1.0191803278688525,0.011978805394990367,61,31640,1,62.17,170.01,2.734598681035869,2.7870491803278687,170.01
